Question,Image,A,B,C,D,E,Answer,Logic
hc_21,hc_1_q21.png,DH,DR,JH,JT,KR,JT,"Top=style, Bot=arrow"
hc_22,hc_1_q22.png,JS,JY,QS,QY,WY,JS,"Top=height, Bot=slope"
hc_23,hc_1_q23.png,CK,HU,YK,YU,YV,CK,"Top=count, Bot=rotation"
hc_24,hc_1_q24.png,DF,GP,MF,NF,NZ,NZ,"Top=border, Bot=inner"
hc_25,hc_1_q25.png,JE,PE,QE,UE,UW,JE,"Top=dot, Bot=shade"
hc_26,hc_1_q26.png,CD,CQ,FD,KD,KE,CQ,"Top=style, Bot=arrow"
hc_27,hc_1_q27.png,LF,LN,LQ,WF,WN,WF,"Top=height, Bot=slope"
hc_28,hc_1_q28.png,JP,JV,ZP,ZU,ZV,JP,"Top=count, Bot=rotation"
hc_29,hc_1_q29.png,GE,GU,ME,MP,WU,ME,"Top=border, Bot=inner"
hc_30,hc_1_q30.png,BA,CZ,TA,TF,UF,BA,"Top=dot, Bot=shade"
hc_31,hc_1_q31.png,BC,BW,BY,HY,PC,HY,"Top=style, Bot=arrow"
hc_32,hc_1_q32.png,DE,ME,MN,QL,QN,ME,"Top=height, Bot=slope"
hc_33,hc_1_q33.png,DB,DW,RA,RW,SA,SA,"Top=count, Bot=rotation"
hc_34,hc_1_q34.png,GX,NH,VH,VP,VX,VH,"Top=border, Bot=inner"
hc_35,hc_1_q35.png,CD,CT,FT,JT,JV,CD,"Top=dot, Bot=shade"
hc_36,hc_1_q36.png,DE,FE,FY,PE,PV,FE,"Top=style, Bot=arrow"
hc_37,hc_1_q37.png,GQ,NE,NQ,SE,SQ,GQ,"Top=height, Bot=slope"
hc_38,hc_1_q38.png,HE,HZ,NJ,NR,YJ,NJ,"Top=count, Bot=rotation"
hc_39,hc_1_q39.png,FN,GN,ZB,ZN,ZY,ZB,"Top=border, Bot=inner"
hc_40,hc_1_q40.png,DE,DM,DS,DX,VM,DX,"Top=dot, Bot=shade"
hc_41,hc_1_q41.png,LS,LW,NF,NW,VW,NF,"Top=style, Bot=arrow"
hc_42,hc_1_q42.png,QM,QR,TR,VM,VP,VM,"Top=height, Bot=slope"
hc_43,hc_1_q43.png,FH,VU,VX,ZU,ZX,ZX,"Top=count, Bot=rotation"
hc_44,hc_1_q44.png,AD,AZ,HD,LZ,YV,LZ,"Top=border, Bot=inner"
hc_45,hc_1_q45.png,NJ,NR,NV,QG,QR,QR,"Top=dot, Bot=shade"
hc_46,hc_1_q46.png,HW,JF,JY,RF,RW,RF,"Top=style, Bot=arrow"
hc_47,hc_1_q47.png,JQ,KQ,KW,PQ,PW,KQ,"Top=height, Bot=slope"
hc_48,hc_1_q48.png,CQ,CT,VP,VQ,ZP,VP,"Top=count, Bot=rotation"
hc_49,hc_1_q49.png,DG,DJ,MG,QG,TG,DG,"Top=border, Bot=inner"
hc_50,hc_1_q50.png,DA,DV,DZ,KY,SA,KY,"Top=dot, Bot=shade"
hc_51,hc_1_q51.png,BW,HS,HW,YS,YW,YW,"Top=style, Bot=arrow"
hc_52,hc_1_q52.png,BX,EJ,EU,EX,KJ,EU,"Top=height, Bot=slope"
hc_53,hc_1_q53.png,CL,CV,MD,RD,RL,RD,"Top=count, Bot=rotation"
hc_54,hc_1_q54.png,FS,FT,NB,XS,XT,XT,"Top=border, Bot=inner"
hc_55,hc_1_q55.png,BJ,BZ,EJ,EQ,VQ,EQ,"Top=dot, Bot=shade"
hc_56,hc_1_q56.png,DZ,LR,LZ,PR,PW,LR,"Top=style, Bot=arrow"
hc_57,hc_1_q57.png,LC,NC,NZ,SQ,SZ,NC,"Top=height, Bot=slope"
hc_58,hc_1_q58.png,LT,LW,LX,NK,ZK,ZK,"Top=count, Bot=rotation"
hc_59,hc_1_q59.png,FR,NM,NX,QR,QX,QR,"Top=border, Bot=inner"
hc_60,hc_1_q60.png,BC,BG,FG,FH,XH,XH,"Top=dot, Bot=shade"
hc_61,hc_1_q61.png,AB,AX,MB,MK,SX,MK,"Top=style, Bot=arrow"
hc_62,hc_1_q62.png,PM,PN,PZ,VM,VZ,VZ,"Top=height, Bot=slope"
hc_63,hc_1_q63.png,JD,JH,YD,YH,YS,YD,"Top=count, Bot=rotation"
hc_64,hc_1_q64.png,EK,EL,GC,UK,UL,UK,"Top=border, Bot=inner"
hc_65,hc_1_q65.png,CA,CY,XA,XE,XF,CY,"Top=dot, Bot=shade"
hc_66,hc_1_q66.png,BE,BV,BY,GE,GY,BE,"Top=style, Bot=arrow"
hc_67,hc_1_q67.png,HA,JA,JY,KA,KY,JA,"Top=height, Bot=slope"
hc_68,hc_1_q68.png,BL,BN,JR,JS,WR,BL,"Top=count, Bot=rotation"
hc_69,hc_1_q69.png,HA,HX,JX,LS,NS,HA,"Top=border, Bot=inner"
hc_70,hc_1_q70.png,FD,MV,QL,XT,XV,XV,"Top=dot, Bot=shade"
hc_71,hc_1_q71.png,FT,GP,GT,HP,HR,HP,"Top=style, Bot=arrow"
hc_72,hc_1_q72.png,HQ,HT,KQ,KT,VM,HQ,"Top=height, Bot=slope"
hc_73,hc_1_q73.png,CX,CY,QF,QY,UX,QY,"Top=count, Bot=rotation"
hc_74,hc_1_q74.png,FD,QB,QJ,UJ,VB,VB,"Top=border, Bot=inner"
hc_75,hc_1_q75.png,GD,NB,ND,NU,XD,NB,"Top=dot, Bot=shade"
hc_76,hc_1_q76.png,DH,DW,DY,EY,SW,DW,"Top=style, Bot=arrow"
hc_77,hc_1_q77.png,CJ,CR,GD,GJ,GR,CR,"Top=height, Bot=slope"
hc_78,hc_1_q78.png,QJ,UL,UX,YL,YX,YL,"Top=count, Bot=rotation"
hc_79,hc_1_q79.png,BL,BZ,HC,YC,YL,YL,"Top=border, Bot=inner"
hc_80,hc_1_q80.png,GT,GX,QJ,WT,WX,GT,"Top=dot, Bot=shade"
hc_81,hc_1_q81.png,AV,AZ,FZ,UV,UZ,AV,"Top=style, Bot=arrow"
hc_82,hc_1_q82.png,KU,KW,TU,XS,XW,TU,"Top=height, Bot=slope"
hc_83,hc_1_q83.png,AH,TH,TQ,TX,VM,AH,"Top=count, Bot=rotation"
hc_84,hc_1_q84.png,AT,DQ,DT,WB,WT,DT,"Top=border, Bot=inner"
hc_85,hc_1_q85.png,SF,SG,SU,TL,YG,SF,"Top=dot, Bot=shade"
hc_86,hc_1_q86.png,KF,LF,LP,XP,XS,XS,"Top=style, Bot=arrow"
hc_87,hc_1_q87.png,AK,CH,CK,CQ,YQ,CQ,"Top=height, Bot=slope"
hc_88,hc_1_q88.png,CF,DF,DJ,WF,WP,CF,"Top=count, Bot=rotation"
hc_89,hc_1_q89.png,AQ,AS,PQ,PS,UX,PS,"Top=border, Bot=inner"
hc_90,hc_1_q90.png,CB,CX,CZ,JZ,WZ,CZ,"Top=dot, Bot=shade"
hc_91,hc_1_q91.png,EK,ET,PT,PX,SX,SX,"Top=style, Bot=arrow"
hc_92,hc_1_q92.png,BL,BQ,VA,VL,VQ,VQ,"Top=height, Bot=slope"
hc_93,hc_1_q93.png,FC,FL,TG,TL,XL,TL,"Top=count, Bot=rotation"
hc_94,hc_1_q94.png,AJ,AT,CT,DT,KJ,KJ,"Top=border, Bot=inner"
hc_95,hc_1_q95.png,NW,XE,XW,ZE,ZM,XW,"Top=dot, Bot=shade"
hc_96,hc_1_q96.png,UB,UC,UG,VB,VC,VC,"Top=style, Bot=arrow"
hc_97,hc_1_q97.png,BC,BW,EM,QC,QW,QW,"Top=height, Bot=slope"
hc_98,hc_1_q98.png,LH,LJ,RD,RH,SD,LH,"Top=count, Bot=rotation"
hc_99,hc_1_q99.png,DU,TQ,TU,WE,WU,WE,"Top=border, Bot=inner"
hc_100,hc_1_q100.png,NE,NJ,SE,SR,TR,SR,"Top=dot, Bot=shade"
hc_101,hc_2_q1.png,DL,KQ,KZ,NL,NZ,KZ,"Q4 Style: Top=direction, Bot=black_pos"
hc_102,hc_2_q2.png,DW,ES,EW,HS,HW,DW,"Q4 Style: Top=direction, Bot=black_pos"
hc_103,hc_2_q3.png,JA,JC,TZ,YA,YC,JC,"Q4 Style: Top=direction, Bot=black_pos"
hc_104,hc_2_q4.png,BU,GD,GU,HD,HM,BU,"Q4 Style: Top=direction, Bot=black_pos"
hc_105,hc_2_q5.png,DK,PK,PL,PS,QK,PL,"Q4 Style: Top=direction, Bot=black_pos"
hc_106,hc_2_q6.png,BF,BS,BV,ES,EV,ES,"Q4 Style: Top=direction, Bot=black_pos"
hc_107,hc_2_q7.png,NZ,RF,RJ,WF,WZ,WF,"Q4 Style: Top=direction, Bot=black_pos"
hc_108,hc_2_q8.png,GB,GL,GX,HB,NB,GX,"Q4 Style: Top=direction, Bot=black_pos"
hc_109,hc_2_q9.png,RB,RL,UB,UL,UX,RL,"Q4 Style: Top=direction, Bot=black_pos"
hc_110,hc_2_q10.png,CL,CV,HL,PL,PZ,HL,"Q4 Style: Top=direction, Bot=black_pos"
hc_111,hc_2_q11.png,AP,AU,AZ,YU,YZ,AU,"Q4 Style: Top=direction, Bot=black_pos"
hc_112,hc_2_q12.png,HP,HU,VP,VU,VW,HU,"Q4 Style: Top=direction, Bot=black_pos"
hc_113,hc_2_q13.png,GM,RM,RT,ZB,ZM,RT,"Q4 Style: Top=direction, Bot=black_pos"
hc_114,hc_2_q14.png,CQ,CU,FD,ZQ,ZU,ZQ,"Q4 Style: Top=direction, Bot=black_pos"
hc_115,hc_2_q15.png,BH,VE,VH,WE,WL,BH,"Q4 Style: Top=direction, Bot=black_pos"
hc_116,hc_2_q16.png,BC,BM,LM,VC,VM,BM,"Q4 Style: Top=direction, Bot=black_pos"
hc_117,hc_2_q17.png,PB,PC,PZ,QB,QZ,PB,"Q4 Style: Top=direction, Bot=black_pos"
hc_118,hc_2_q18.png,GU,GY,JU,JY,ZU,GU,"Q4 Style: Top=direction, Bot=black_pos"
hc_119,hc_2_q19.png,BW,BY,FV,FW,FY,FV,"Q4 Style: Top=direction, Bot=black_pos"
hc_120,hc_2_q20.png,CW,GA,GK,YK,YW,GA,"Q4 Style: Top=direction, Bot=black_pos"
hc_121,hc_2_q21.png,EK,EX,MX,WJ,WX,EX,"Q4 Style: Top=direction, Bot=black_pos"
hc_122,hc_2_q22.png,FH,FK,RK,TB,TH,TH,"Q4 Style: Top=direction, Bot=black_pos"
hc_123,hc_2_q23.png,JB,JR,LR,UB,UK,LR,"Q4 Style: Top=direction, Bot=black_pos"
hc_124,hc_2_q24.png,AN,AX,BN,BX,CN,AX,"Q4 Style: Top=direction, Bot=black_pos"
hc_125,hc_2_q25.png,AE,AS,FE,FG,XG,XG,"Q4 Style: Top=direction, Bot=black_pos"
hc_126,hc_2_q26.png,MC,MJ,MV,NJ,NV,NV,"Q4 Style: Top=direction, Bot=black_pos"
hc_127,hc_2_q27.png,DW,LF,LU,MF,MW,MF,"Q4 Style: Top=direction, Bot=black_pos"
hc_128,hc_2_q28.png,HZ,QM,QS,QZ,VM,QS,"Q4 Style: Top=direction, Bot=black_pos"
hc_129,hc_2_q29.png,AE,AK,QE,QK,YE,AK,"Q4 Style: Top=direction, Bot=black_pos"
hc_130,hc_2_q30.png,BD,MF,ZD,ZF,ZR,ZR,"Q4 Style: Top=direction, Bot=black_pos"
hc_131,hc_2_q31.png,BM,BT,GL,QM,QT,BT,"Q4 Style: Top=direction, Bot=black_pos"
hc_132,hc_2_q32.png,BE,CK,WE,WG,WK,WK,"Q4 Style: Top=direction, Bot=black_pos"
hc_133,hc_2_q33.png,GN,UB,UH,XH,XN,GN,"Q4 Style: Top=direction, Bot=black_pos"
hc_134,hc_2_q34.png,LE,LF,LH,ZF,ZH,LH,"Q4 Style: Top=direction, Bot=black_pos"
hc_135,hc_2_q35.png,MD,MS,MV,UD,US,US,"Q4 Style: Top=direction, Bot=black_pos"
hc_136,hc_2_q36.png,FV,UQ,UV,XQ,XV,FV,"Q4 Style: Top=direction, Bot=black_pos"
hc_137,hc_2_q37.png,BF,BK,BU,HF,HK,BK,"Q4 Style: Top=direction, Bot=black_pos"
hc_138,hc_2_q38.png,CM,EL,EM,KL,KY,EM,"Q4 Style: Top=direction, Bot=black_pos"
hc_139,hc_2_q39.png,JA,US,VA,VK,VS,US,"Q4 Style: Top=direction, Bot=black_pos"
hc_140,hc_2_q40.png,BC,BH,BY,FC,FY,FC,"Q4 Style: Top=direction, Bot=black_pos"
hc_141,hc_2_q41.png,DR,HK,HZ,XK,XZ,XZ,"Q4 Style: Top=direction, Bot=black_pos"
hc_142,hc_2_q42.png,MD,MZ,TD,UY,UZ,UZ,"Q4 Style: Top=direction, Bot=black_pos"
hc_143,hc_2_q43.png,AG,AQ,JC,PC,PG,AQ,"Q4 Style: Top=direction, Bot=black_pos"
hc_144,hc_2_q44.png,FA,MA,MC,YC,YU,YC,"Q4 Style: Top=direction, Bot=black_pos"
hc_145,hc_2_q45.png,CD,TD,TE,UD,UE,UD,"Q4 Style: Top=direction, Bot=black_pos"
hc_146,hc_2_q46.png,CB,CH,KH,WA,WB,CH,"Q4 Style: Top=direction, Bot=black_pos"
hc_147,hc_2_q47.png,NH,NT,NW,UT,UW,UT,"Q4 Style: Top=direction, Bot=black_pos"
hc_148,hc_2_q48.png,NF,NW,NX,SW,SX,NF,"Q4 Style: Top=direction, Bot=black_pos"
hc_149,hc_2_q49.png,TK,TX,UC,UX,YC,TX,"Q4 Style: Top=direction, Bot=black_pos"
hc_150,hc_2_q50.png,EB,GJ,GS,QB,QS,GJ,"Q4 Style: Top=direction, Bot=black_pos"
hc_151,hc_2_q51.png,DM,EA,EM,XA,XM,EM,"Q5 Style: Top=shade_dir, Bot=shape"
hc_152,hc_2_q52.png,HP,LP,LT,RF,RT,RT,"Q5 Style: Top=shade_dir, Bot=shape"
hc_153,hc_2_q53.png,AL,VB,VC,VL,ZC,VC,"Q5 Style: Top=shade_dir, Bot=shape"
hc_154,hc_2_q54.png,NC,ND,SC,SD,TC,SD,"Q5 Style: Top=shade_dir, Bot=shape"
hc_155,hc_2_q55.png,HM,UB,UM,ZB,ZN,ZB,"Q5 Style: Top=shade_dir, Bot=shape"
hc_156,hc_2_q56.png,CP,CR,GF,GP,ZF,GF,"Q5 Style: Top=shade_dir, Bot=shape"
hc_157,hc_2_q57.png,HC,HE,RC,RY,TY,RC,"Q5 Style: Top=shade_dir, Bot=shape"
hc_158,hc_2_q58.png,DL,DS,EL,ES,QL,QL,"Q5 Style: Top=shade_dir, Bot=shape"
hc_159,hc_2_q59.png,DJ,DL,EJ,MG,ML,DJ,"Q5 Style: Top=shade_dir, Bot=shape"
hc_160,hc_2_q60.png,QG,RH,WG,WH,WT,WG,"Q5 Style: Top=shade_dir, Bot=shape"
hc_161,hc_2_q61.png,EH,PA,PD,XA,XD,XA,"Q5 Style: Top=shade_dir, Bot=shape"
hc_162,hc_2_q62.png,GP,GV,LN,LP,MN,LP,"Q5 Style: Top=shade_dir, Bot=shape"
hc_163,hc_2_q63.png,EW,LH,LX,YH,YW,EW,"Q5 Style: Top=shade_dir, Bot=shape"
hc_164,hc_2_q64.png,CN,CV,MN,MV,XH,CV,"Q5 Style: Top=shade_dir, Bot=shape"
hc_165,hc_2_q65.png,PN,PX,WX,ZC,ZN,ZN,"Q5 Style: Top=shade_dir, Bot=shape"
hc_166,hc_2_q66.png,LA,LM,LN,XA,YM,LA,"Q5 Style: Top=shade_dir, Bot=shape"
hc_167,hc_2_q67.png,DV,DX,NC,NV,NX,DX,"Q5 Style: Top=shade_dir, Bot=shape"
hc_168,hc_2_q68.png,RP,TG,TM,TP,YP,TG,"Q5 Style: Top=shade_dir, Bot=shape"
hc_169,hc_2_q69.png,PN,WN,WS,YN,YR,YR,"Q5 Style: Top=shade_dir, Bot=shape"
hc_170,hc_2_q70.png,LC,WB,WC,WY,ZY,LC,"Q5 Style: Top=shade_dir, Bot=shape"
hc_171,hc_2_q71.png,GF,JT,RF,RL,RT,RL,"Q5 Style: Top=shade_dir, Bot=shape"
hc_172,hc_2_q72.png,GZ,QW,QY,QZ,UY,GZ,"Q5 Style: Top=shade_dir, Bot=shape"
hc_173,hc_2_q73.png,FC,TX,YC,YL,YX,YC,"Q5 Style: Top=shade_dir, Bot=shape"
hc_174,hc_2_q74.png,HW,MK,MU,XK,XW,XW,"Q5 Style: Top=shade_dir, Bot=shape"
hc_175,hc_2_q75.png,JW,KF,KU,PF,PU,KF,"Q5 Style: Top=shade_dir, Bot=shape"
hc_176,hc_2_q76.png,CA,DA,DY,HA,HL,CA,"Q5 Style: Top=shade_dir, Bot=shape"
hc_177,hc_2_q77.png,DP,YP,ZF,ZP,ZX,ZX,"Q5 Style: Top=shade_dir, Bot=shape"
hc_178,hc_2_q78.png,MD,MQ,PB,PD,UQ,MD,"Q5 Style: Top=shade_dir, Bot=shape"
hc_179,hc_2_q79.png,HX,KN,KX,WL,WX,KN,"Q5 Style: Top=shade_dir, Bot=shape"
hc_180,hc_2_q80.png,ME,MU,NT,WE,WU,WE,"Q5 Style: Top=shade_dir, Bot=shape"
hc_181,hc_2_q81.png,SB,SZ,VB,VF,VZ,VZ,"Q5 Style: Top=shade_dir, Bot=shape"
hc_182,hc_2_q82.png,DQ,DU,HQ,ZU,ZY,ZU,"Q5 Style: Top=shade_dir, Bot=shape"
hc_183,hc_2_q83.png,JN,LK,LN,LR,SR,SR,"Q5 Style: Top=shade_dir, Bot=shape"
hc_184,hc_2_q84.png,HR,ME,MG,UG,UR,ME,"Q5 Style: Top=shade_dir, Bot=shape"
hc_185,hc_2_q85.png,DC,DK,DS,JS,YC,DK,"Q5 Style: Top=shade_dir, Bot=shape"
hc_186,hc_2_q86.png,LB,LV,UB,UQ,UV,LB,"Q5 Style: Top=shade_dir, Bot=shape"
hc_187,hc_2_q87.png,JF,JR,JV,XF,XV,JF,"Q5 Style: Top=shade_dir, Bot=shape"
hc_188,hc_2_q88.png,YB,YT,ZB,ZJ,ZT,ZB,"Q5 Style: Top=shade_dir, Bot=shape"
hc_189,hc_2_q89.png,GL,GY,PM,PY,RM,PM,"Q5 Style: Top=shade_dir, Bot=shape"
hc_190,hc_2_q90.png,JC,JK,YC,YK,YT,JC,"Q5 Style: Top=shade_dir, Bot=shape"
hc_191,hc_2_q91.png,KP,VJ,VP,XJ,XP,VJ,"Q5 Style: Top=shade_dir, Bot=shape"
hc_192,hc_2_q92.png,KE,KF,QZ,SF,SZ,SZ,"Q5 Style: Top=shade_dir, Bot=shape"
hc_193,hc_2_q93.png,FL,FN,HL,HX,YN,YN,"Q5 Style: Top=shade_dir, Bot=shape"
hc_194,hc_2_q94.png,FL,FM,FW,JL,JM,FM,"Q5 Style: Top=shade_dir, Bot=shape"
hc_195,hc_2_q95.png,BT,BX,JT,WQ,WX,WX,"Q5 Style: Top=shade_dir, Bot=shape"
hc_196,hc_2_q96.png,ME,MU,RE,RF,RU,RE,"Q5 Style: Top=shade_dir, Bot=shape"
hc_197,hc_2_q97.png,DZ,PG,PN,PZ,SG,SG,"Q5 Style: Top=shade_dir, Bot=shape"
hc_198,hc_2_q98.png,EG,EV,KG,KV,ZG,EG,"Q5 Style: Top=shade_dir, Bot=shape"
hc_199,hc_2_q99.png,HF,HP,JF,JP,QD,JP,"Q5 Style: Top=shade_dir, Bot=shape"
hc_200,hc_2_q100.png,AB,AF,KF,QB,QD,AF,"Q5 Style: Top=shade_dir, Bot=shape"
hc_201,hc_3_q1.png,ES,NK,NL,QL,QS,ES,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_202,hc_3_q2.png,ER,GC,GU,MR,MU,GC,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_203,hc_3_q3.png,DF,DQ,DS,XF,XS,XS,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_204,hc_3_q4.png,JA,JP,SA,SM,SP,SM,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_205,hc_3_q5.png,GB,GF,VB,VF,WF,GB,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_206,hc_3_q6.png,AM,HM,HZ,KM,KT,AM,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_207,hc_3_q7.png,GJ,GK,MJ,SD,SK,MJ,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_208,hc_3_q8.png,HR,HU,LR,LU,PR,HR,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_209,hc_3_q9.png,GF,GN,GR,KN,UF,GN,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_210,hc_3_q10.png,HM,HX,LS,YS,YX,HM,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_211,hc_3_q11.png,EQ,EW,SN,SQ,TQ,SN,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_212,hc_3_q12.png,MB,MN,MQ,PQ,RN,MN,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_213,hc_3_q13.png,CV,UD,UT,YT,YV,YT,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_214,hc_3_q14.png,AP,AR,MP,XF,XR,MP,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_215,hc_3_q15.png,BC,BU,JP,TP,TU,TP,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_216,hc_3_q16.png,FV,PR,PV,SD,SR,SD,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_217,hc_3_q17.png,DC,DU,EL,EU,JL,JL,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_218,hc_3_q18.png,JB,UB,UC,VC,VW,UB,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_219,hc_3_q19.png,BR,XP,XV,YP,YV,BR,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_220,hc_3_q20.png,PQ,RK,RZ,UK,UQ,UK,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_221,hc_3_q21.png,BX,CG,CS,EG,EX,EG,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_222,hc_3_q22.png,GF,JF,JT,LF,LT,JF,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_223,hc_3_q23.png,RE,RM,XM,XQ,ZQ,XQ,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_224,hc_3_q24.png,QD,QH,UR,VH,VR,QH,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_225,hc_3_q25.png,AJ,AV,NE,UJ,UV,AJ,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_226,hc_3_q26.png,CB,CK,TK,TM,YM,TM,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_227,hc_3_q27.png,KH,KV,YH,YP,YV,KV,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_228,hc_3_q28.png,GB,GH,SH,YH,YP,SH,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_229,hc_3_q29.png,DE,PF,PW,UE,UW,UE,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_230,hc_3_q30.png,XF,XQ,XT,YF,YT,YT,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_231,hc_3_q31.png,QT,UT,YG,YR,YT,YT,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_232,hc_3_q32.png,BF,BW,QF,QL,QW,QW,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_233,hc_3_q33.png,JD,JE,QE,XD,XE,QE,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_234,hc_3_q34.png,GW,XR,ZB,ZR,ZW,GW,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_235,hc_3_q35.png,LE,LJ,RF,RJ,YE,LJ,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_236,hc_3_q36.png,GP,GS,VS,WP,WS,WP,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_237,hc_3_q37.png,BS,PT,PY,XS,XT,PY,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_238,hc_3_q38.png,AF,NC,NF,NX,RX,AF,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_239,hc_3_q39.png,DA,DB,XA,XB,YC,XB,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_240,hc_3_q40.png,GF,ME,MF,ML,XF,GF,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_241,hc_3_q41.png,AC,AM,HC,HD,WD,AM,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_242,hc_3_q42.png,FT,LN,LW,VN,VW,VW,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_243,hc_3_q43.png,FM,FZ,KJ,KZ,QZ,FM,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_244,hc_3_q44.png,KF,LF,MF,MQ,MW,MF,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_245,hc_3_q45.png,DG,DQ,DU,JG,JQ,DU,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_246,hc_3_q46.png,KC,KD,KW,YD,YW,KD,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_247,hc_3_q47.png,GE,GS,PK,PS,ZK,ZK,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_248,hc_3_q48.png,FG,FX,HB,UG,UX,FG,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_249,hc_3_q49.png,RK,YC,YK,ZK,ZX,RK,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_250,hc_3_q50.png,CF,CN,HF,HN,VP,HN,"Q6 Style: Top=cross_sz, Bot=circle_sz"
hc_251,hc_3_q51.png,LM,LQ,PJ,PQ,WJ,PJ,"Q7 Style: Top=count, Bot=inner_shape"
hc_252,hc_3_q52.png,GK,GT,NK,NT,VT,GK,"Q7 Style: Top=count, Bot=inner_shape"
