Ref,Image_Name,Correct_Answer,Reason
NVR-OOO_47,P2Q3_7.png,E,"The odd one out is E. There are 6 dots in total, while all other options have 4. Black and white dot counts vary but do not single out any option. Rotation is unique for all 5 options."
NVR-OOO_48,P2Q3_8.png,E,"The odd one out is E. There are 4 black dots, while all other options have 2. White and total dots are balanced to not form unique counts. Rotation is unique for all 5 options."
NVR-OOO_49,P2Q3_9.png,D,"The odd one out is D. The outer shape is a hexagon, while all others are circles. Dot counts and enclosures are identical. Rotation is unique for all 5 options."
NVR-OOO_50,P2Q3_10.png,E,"The odd one out is E. There are 4 black dots, while all other options have 2. White and total dots are balanced to not form unique counts. Rotation is unique for all 5 options."
NVR-OOO_51,P2Q3_11.png,E,"The odd one out is E. There are 4 black dots, while all other options have 2. White and total dots are balanced to not form unique counts. Rotation is unique for all 5 options."
NVR-OOO_52,P2Q3_12.png,B,"The odd one out is B. The outer shape is a oval, while all others are circles. Dot counts and enclosures are identical. Rotation is unique for all 5 options."
NVR-OOO_53,P2Q3_13.png,B,"The odd one out is B. There are 4 black dots, while all other options have 2. White and total dots are balanced to not form unique counts. Rotation is unique for all 5 options."
NVR-OOO_54,P2Q3_14.png,E,"The odd one out is E. There are 6 dots in total, while all other options have 4. Black and white dot counts vary but do not single out any option. Rotation is unique for all 5 options."
NVR-OOO_55,P2Q3_15.png,D,"The odd one out is D. There are 4 white dots, while all other options have 2. Black and total dots are balanced to not form unique counts. Rotation is unique for all 5 options."
NVR-OOO_56,P2Q3_16.png,E,"The odd one out is E. The outer shape is a oval, while all others are circles. Dot counts and enclosures are identical. Rotation is unique for all 5 options."
NVR-OOO_57,P2Q3_17.png,D,"The odd one out is D. The outer shape is a square, while all others are circles. Dot counts and enclosures are identical. Rotation is unique for all 5 options."
NVR-OOO_58,P2Q3_18.png,E,"The odd one out is E. The outer shape is a oval, while all others are hexagons. Dot counts and enclosures are identical. Rotation is unique for all 5 options."
NVR-OOO_59,P2Q3_19.png,C,"The odd one out is C. The outer shape is a oval, while all others are circles. Dot counts and enclosures are identical. Rotation is unique for all 5 options."
NVR-OOO_60,P2Q3_20.png,B,"The odd one out is B. There are 4 white dots, while all other options have 2. Black and total dots are balanced to not form unique counts. Rotation is unique for all 5 options."
NVR-OOO_61,P2Q4_1.png,E,"The odd one out is E. All three shapes (one large, two small) are the exact same type of polygon, except in this option. Colors are randomized but always feature one black, one white, and one grey, preventing a color-based rule."
NVR-OOO_62,P2Q4_2.png,E,"The odd one out is E. All three shapes (one large, two small) are the exact same type of polygon, except in this option. Colors are randomized but always feature one black, one white, and one grey, preventing a color-based rule."
NVR-OOO_63,P2Q4_3.png,C,"The odd one out is C. The two small shapes are spread out on the boundary, but in this option, they are clustered together and overlap each other. Colors are randomized but always feature one black, one white, and one grey, preventing a color-based rule."
NVR-OOO_64,P2Q4_4.png,B,"The odd one out is B. The two small shapes are spread out on the boundary, but in this option, they are clustered together and overlap each other. Colors are randomized but always feature one black, one white, and one grey, preventing a color-based rule."
NVR-OOO_65,P2Q4_5.png,A,"The odd one out is A. The two small shapes are spread out on the boundary, but in this option, they are clustered together and overlap each other. Colors are randomized but always feature one black, one white, and one grey, preventing a color-based rule."
NVR-OOO_66,P2Q4_6.png,E,"The odd one out is E. All three shapes (one large, two small) are the exact same type of polygon, except in this option. Colors are randomized but always feature one black, one white, and one grey, preventing a color-based rule."
NVR-OOO_67,P2Q4_7.png,D,"The odd one out is D. Both small shapes sit in front of the large shape, but in this option, one small shape is hidden behind the large shape. Colors are randomized but always feature one black, one white, and one grey, preventing a color-based rule."
NVR-OOO_68,P2Q4_8.png,E,"The odd one out is E. All three shapes (one large, two small) are the exact same type of polygon, except in this option. Colors are randomized but always feature one black, one white, and one grey, preventing a color-based rule."
NVR-OOO_69,P2Q4_9.png,A,"The odd one out is A. The two small shapes are spread out on the boundary, but in this option, they are clustered together and overlap each other. Colors are randomized but always feature one black, one white, and one grey, preventing a color-based rule."
NVR-OOO_70,P2Q4_10.png,A,"The odd one out is A. All three shapes (one large, two small) are the exact same type of polygon, except in this option. Colors are randomized but always feature one black, one white, and one grey, preventing a color-based rule."
NVR-OOO_71,P2Q4_11.png,E,"The odd one out is E. The two small shapes are spread out on the boundary, but in this option, they are clustered together and overlap each other. Colors are randomized but always feature one black, one white, and one grey, preventing a color-based rule."
NVR-OOO_72,P2Q4_12.png,A,"The odd one out is A. All three shapes (one large, two small) are the exact same type of polygon, except in this option. Colors are randomized but always feature one black, one white, and one grey, preventing a color-based rule."
NVR-OOO_73,P2Q4_13.png,A,"The odd one out is A. Both small shapes sit in front of the large shape, but in this option, one small shape is hidden behind the large shape. Colors are randomized but always feature one black, one white, and one grey, preventing a color-based rule."
NVR-OOO_74,P2Q4_14.png,D,"The odd one out is D. The two small shapes are spread out on the boundary, but in this option, they are clustered together and overlap each other. Colors are randomized but always feature one black, one white, and one grey, preventing a color-based rule."
NVR-OOO_75,P2Q4_15.png,A,"The odd one out is A. Both small shapes sit in front of the large shape, but in this option, one small shape is hidden behind the large shape. Colors are randomized but always feature one black, one white, and one grey, preventing a color-based rule."
NVR-OOO_76,P2Q4_16.png,B,"The odd one out is B. All three shapes (one large, two small) are the exact same type of polygon, except in this option. Colors are randomized but always feature one black, one white, and one grey, preventing a color-based rule."
NVR-OOO_77,P2Q4_17.png,B,"The odd one out is B. Both small shapes sit in front of the large shape, but in this option, one small shape is hidden behind the large shape. Colors are randomized but always feature one black, one white, and one grey, preventing a color-based rule."
NVR-OOO_78,P2Q4_18.png,D,"The odd one out is D. All three shapes (one large, two small) are the exact same type of polygon, except in this option. Colors are randomized but always feature one black, one white, and one grey, preventing a color-based rule."
NVR-OOO_79,P2Q4_19.png,B,"The odd one out is B. All three shapes (one large, two small) are the exact same type of polygon, except in this option. Colors are randomized but always feature one black, one white, and one grey, preventing a color-based rule."
NVR-OOO_80,P2Q4_20.png,B,"The odd one out is B. Both small shapes sit in front of the large shape, but in this option, one small shape is hidden behind the large shape. Colors are randomized but always feature one black, one white, and one grey, preventing a color-based rule."
